25,206,CountingMap (3/4),157
52,205,CountingMap (2/4),159
41,208,CountingMap (1/4),159
107,219,CountingMap (4/4),157
25,210,CountingMap (3/4),159
85,209,CountingMap (2/4),161
103,220,CountingMap (1/4),161
112,207,CountingMap (4/4),159
87,222,CountingMap (3/4),161
108,208,CountingMap (1/4),163
147,211,CountingMap (4/4),161
46,225,CountingMap (2/4),163
193,210,CountingMap (3/4),163
52,213,CountingMap (2/4),165
42,216,CountingMap (1/4),165
109,227,CountingMap (4/4),163
26,218,CountingMap (3/4),165
85,217,CountingMap (2/4),167
103,228,CountingMap (1/4),167
114,215,CountingMap (4/4),165
87,230,CountingMap (3/4),167
109,216,CountingMap (1/4),169
148,219,CountingMap (4/4),167
47,233,CountingMap (2/4),169
193,218,CountingMap (3/4),169
53,221,CountingMap (2/4),171
42,224,CountingMap (1/4),171
75,235,CountingMap (4/4),169
31,222,CountingMap (3/4),171
27,236,CountingMap (1/4),173
47,237,CountingMap (2/4),173
115,223,CountingMap (4/4),171
87,238,CountingMap (3/4),173
109,224,CountingMap (1/4),175
148,227,CountingMap (4/4),173
47,241,CountingMap (2/4),175
194,226,CountingMap (3/4),175
53,229,CountingMap (2/4),177
42,232,CountingMap (1/4),177
110,243,CountingMap (4/4),175
26,234,CountingMap (3/4),177
86,233,CountingMap (2/4),179
104,244,CountingMap (1/4),179
115,231,CountingMap (4/4),177
87,246,CountingMap (3/4),179
109,232,CountingMap (1/4),181
149,235,CountingMap (4/4),179
47,249,CountingMap (2/4),181
193,234,CountingMap (3/4),181
53,237,CountingMap (2/4),183
42,240,CountingMap (1/4),183
110,251,CountingMap (4/4),181
25,242,CountingMap (3/4),183
87,241,CountingMap (2/4),185
103,252,CountingMap (1/4),185
117,239,CountingMap (4/4),183
87,254,CountingMap (3/4),185
108,240,CountingMap (1/4),187
16,245,CountingMap (2/4),187
119,243,CountingMap (4/4),185
24,246,CountingMap (3/4),187
54,245,CountingMap (2/4),189
39,248,CountingMap (1/4),189
110,259,CountingMap (4/4),187
24,250,CountingMap (3/4),189
85,249,CountingMap (2/4),191
102,260,CountingMap (1/4),191
116,247,CountingMap (4/4),189
88,262,CountingMap (3/4),191
109,248,CountingMap (1/4),193
147,251,CountingMap (4/4),191
47,265,CountingMap (2/4),193
194,250,CountingMap (3/4),193
53,253,CountingMap (2/4),195
38,256,CountingMap (1/4),195
111,267,CountingMap (4/4),193
23,258,CountingMap (3/4),195
84,257,CountingMap (2/4),197
102,268,CountingMap (1/4),197
117,255,CountingMap (4/4),195
88,270,CountingMap (3/4),197
108,256,CountingMap (1/4),199
147,259,CountingMap (4/4),197
48,273,CountingMap (2/4),199
194,258,CountingMap (3/4),199
54,261,CountingMap (2/4),201
38,264,CountingMap (1/4),201
14,276,CountingMap (1/4),203
65,275,CountingMap (4/4),199
21,262,CountingMap (3/4),201
85,265,CountingMap (2/4),203
116,263,CountingMap (4/4),201
90,278,CountingMap (3/4),203
108,264,CountingMap (1/4),205
147,267,CountingMap (4/4),203
51,281,CountingMap (2/4),205
190,266,CountingMap (3/4),205
51,269,CountingMap (2/4),207
39,272,CountingMap (1/4),207
111,283,CountingMap (4/4),205
26,274,CountingMap (3/4),207
89,273,CountingMap (2/4),209
103,284,CountingMap (1/4),209
111,271,CountingMap (4/4),207
89,286,CountingMap (3/4),209
102,272,CountingMap (1/4),211
149,275,CountingMap (4/4),209
52,289,CountingMap (2/4),211
190,274,CountingMap (3/4),211
52,277,CountingMap (2/4),213
40,280,CountingMap (1/4),213
111,291,CountingMap (4/4),211
26,282,CountingMap (3/4),213
91,281,CountingMap (2/4),215
104,292,CountingMap (1/4),215
111,279,CountingMap (4/4),213
90,294,CountingMap (3/4),215
106,280,CountingMap (1/4),217
99,283,CountingMap (4/4),215
32,286,CountingMap (3/4),217
52,297,CountingMap (2/4),217
52,285,CountingMap (2/4),219
42,288,CountingMap (1/4),219
111,299,CountingMap (4/4),217
26,290,CountingMap (3/4),219
90,289,CountingMap (2/4),221
106,300,CountingMap (1/4),221
111,287,CountingMap (4/4),219
90,302,CountingMap (3/4),221
106,288,CountingMap (1/4),223
149,291,CountingMap (4/4),221
52,305,CountingMap (2/4),223
190,290,CountingMap (3/4),223
